Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2024,1727.30,1746.00,1681.95,1715.95,1718.852965039091311402,135580,9020,233042085.00,19827,14.62,64.05,-11.35
31-July-2024,1709.50,1730.50,1695.35,1717.85,1716.482925574215278102,42754,3863,73386511.00,19096,44.66,35.15,8.35
30-July-2024,1720.95,1724.15,1696.50,1701.65,1709.631435526650437815,27523,3481,47054186.00,12996,47.22,27.65,-19.30
29-July-2024,1719.95,1728.00,1693.45,1724.15,1711.491452991452991452,45630,3092,78095355.00,13460,29.50,34.55,4.20
26-July-2024,1675.00,1722.95,1665.20,1713.60,1705.918081531290362586,330597,14189,563971400.00,64650,19.56,57.75,38.60
25-July-2024,1617.45,1681.00,1603.30,1665.20,1640.828900400703966273,100573,9103,165023085.00,48615,48.34,77.70,47.75
24-July-2024,1603.00,1624.95,1592.25,1619.75,1613.524141819976034397,56748,5282,91564268.00,35112,61.87,32.70,16.75
23-July-2024,1585.05,1605.00,1575.00,1602.40,1594.035073172754031756,72363,5969,115349160.00,33238,45.93,30.00,17.35
22-July-2024,1566.60,1590.00,1558.10,1587.90,1579.826067122841316389,15345,1449,24242431.00,6711,43.73,31.90,21.30
19-July-2024,1582.40,1589.20,1565.10,1568.45,1571.116845185940191572,167769,12375,263584702.00,19140,11.41,24.10,-13.95
18-July-2024,1578.95,1596.85,1570.30,1593.65,1588.029379279876297768,36216,3080,57512072.00,10565,29.17,26.55,14.70
16-July-2024,1594.85,1594.85,1575.10,1579.25,1584.068189297702889488,15193,1526,24066748.00,5335,35.11,19.75,-15.60
15-July-2024,1578.30,1594.45,1578.25,1585.65,1587.727678237683470806,40129,4595,63713924.00,24248,60.43,16.20,7.35
12-July-2024,1587.95,1588.25,1550.00,1578.25,1579.771115051117168135,226734,20627,358187824.00,28696,12.66,38.25,-9.70
11-July-2024,1609.20,1609.20,1573.15,1583.25,1579.733461493498902412,76987,3456,121618940.00,46500,60.40,36.05,-25.95
10-July-2024,1589.00,1600.80,1567.60,1597.50,1585.543878501325309835,69795,5929,110663035.00,41996,60.17,33.20,8.50
9-July-2024,1564.95,1590.00,1549.70,1586.30,1574.281567443469509702,31797,2920,50057431.00,11115,34.96,40.30,21.35
8-July-2024,1570.00,1574.80,1550.75,1555.65,1560.782327258921791951,52680,6506,82222013.00,34947,66.34,24.05,-14.35
5-July-2024,1560.55,1574.25,1556.45,1568.85,1568.222024952946426838,309222,28462,484928751.00,37001,11.97,17.80,8.30
4-July-2024,1539.95,1570.70,1526.95,1557.95,1552.891407496425833454,48263,5655,74947198.00,13370,27.70,43.75,18.00
3-July-2024,1522.45,1536.00,1500.00,1532.55,1525.534323029221084280,53215,5423,81181309.00,28317,53.21,36.00,10.10
2-July-2024,1517.80,1534.45,1509.00,1524.10,1523.799030237320804722,33204,2687,50596223.00,9005,27.12,25.45,6.30
1-July-2024,1524.95,1524.95,1504.15,1517.90,1511.412718460324914850,219319,8088,331481526.00,176741,80.59,20.80,-7.05
28-June-2024,1515.45,1538.70,1515.00,1522.40,1524.824053509442842854,271952,24217,414678951.00,25085,9.22,23.70,6.95
27-June-2024,1525.55,1527.75,1505.35,1515.25,1514.070726882302216661,59143,5487,89546685.00,22707,38.39,22.40,-10.30
26-June-2024,1504.85,1528.55,1495.05,1521.65,1508.603413493867879214,31229,3345,47112176.00,15427,49.40,33.50,16.80
25-June-2024,1499.95,1507.75,1492.55,1505.00,1499.868817666496520968,37223,4601,55829617.00,21064,56.59,15.20,5.05
24-June-2024,1471.05,1502.25,1471.05,1494.75,1492.066122867163179256,50754,3775,75728324.00,13643,26.88,31.20,23.70
21-June-2024,1482.95,1487.50,1461.40,1466.45,1473.513378892725301699,418794,30522,617098562.00,123815,29.56,26.10,-16.50
20-June-2024,1489.95,1489.95,1467.15,1470.45,1476.248863737370744570,168755,10526,249124377.00,113474,67.24,22.80,-19.50
19-June-2024,1524.00,1530.00,1500.25,1504.15,1515.782500697031911388,39453,2525,59802167.00,21597,54.74,29.75,-19.85
18-June-2024,1515.85,1523.65,1510.50,1520.65,1517.009451795841209829,20102,1695,30494924.00,10347,51.47,13.15,4.80
14-June-2024,1510.35,1518.30,1503.90,1515.80,1512.830089759281925744,49020,3594,74158931.00,10654,21.73,14.40,5.45
13-June-2024,1514.90,1514.90,1498.20,1509.90,1506.222391408879628145,12478,1234,18794643.00,4917,39.41,16.70,-5.00
12-June-2024,1499.50,1514.35,1497.50,1505.85,1505.738846327174402884,13314,1421,20047407.00,4479,33.64,16.85,6.35
11-June-2024,1521.15,1525.00,1497.55,1499.50,1511.021352484696582638,20747,1883,31349160.00,10185,49.09,27.45,-21.65
10-June-2024,1510.20,1521.75,1505.20,1512.45,1513.197894098931899098,66005,4554,99878627.00,33390,50.59,16.55,2.25
7-June-2024,1482.55,1511.00,1471.85,1507.00,1501.926096520514325885,396869,23228,596067908.00,77115,19.43,39.15,24.45
6-June-2024,1499.95,1499.95,1455.40,1472.95,1468.519809192290337136,77565,6574,113905739.00,26684,34.40,44.55,-27.00
5-June-2024,1440.20,1489.70,1434.00,1487.45,1473.185873256483472579,85101,7306,125369591.00,44917,52.78,55.70,47.25
4-June-2024,1450.40,1476.05,1376.75,1433.70,1448.837766918706356893,138338,12254,200429319.00,54039,39.06,99.30,-16.70
3-June-2024,1490.05,1495.55,1451.15,1453.25,1468.725011596474671699,62519,5901,91823219.00,26146,41.82,44.40,-36.80
31-May-2024,1460.50,1479.65,1440.20,1460.15,1454.715044920884635887,307652,21112,447545993.00,39570,12.86,39.45,-0.35
30-May-2024,1478.95,1478.95,1449.65,1459.55,1462.719312602291325695,25662,2753,37536303.00,5775,22.50,29.30,-19.40
29-May-2024,1466.05,1494.85,1466.00,1478.35,1479.703446935337566411,30868,2482,45675486.00,7430,24.07,28.85,12.30
28-May-2024,1467.05,1479.20,1456.00,1464.85,1466.977846953001164944,52363,4320,76815361.00,20431,39.02,23.20,-2.20
27-May-2024,1487.00,1500.30,1460.40,1466.70,1478.027186317279634819,34613,2859,51158955.00,16492,47.65,39.90,-20.30
24-May-2024,1509.75,1509.75,1477.60,1486.55,1487.635215351493958211,160714,9418,239083806.00,50123,31.19,32.15,-23.20
23-May-2024,1514.35,1514.35,1467.00,1494.95,1485.510359918200408997,244500,15526,363207283.00,69364,28.37,47.35,-19.40
22-May-2024,1549.60,1563.75,1505.50,1540.30,1526.273830147016997709,193379,14314,295149307.00,65789,34.02,58.25,-9.30
21-May-2024,1535.15,1558.50,1523.65,1541.15,1539.182970920923506017,38722,3492,59600243.00,18908,48.83,34.85,6.00
18-May-2024,1540.85,1540.85,1523.35,1530.80,1531.721039335979790689,5542,669,8488798.00,3189,57.54,17.50,-10.05
17-May-2024,1526.35,1537.45,1520.00,1531.55,1533.114037572903742636,102361,7427,156931086.00,7303,7.13,17.45,5.20
16-May-2024,1534.90,1540.00,1509.50,1536.25,1522.676998263777249051,15551,1827,23679150.00,2243,14.42,30.50,1.35
15-May-2024,1543.65,1550.00,1520.90,1526.90,1529.649900355255177194,23082,2806,35307379.00,9327,40.41,29.10,-16.75
14-May-2024,1529.40,1547.90,1519.00,1545.25,1540.740732476647362495,98597,6345,151912414.00,78487,79.60,28.90,15.85
13-May-2024,1507.25,1530.00,1502.90,1525.85,1518.625011745912422476,85136,4128,129289659.00,56057,65.84,27.10,18.60
10-May-2024,1499.95,1526.25,1490.00,1506.25,1506.141518829754123871,96390,7467,145176981.00,10339,10.73,36.25,6.30
9-May-2024,1540.15,1540.15,1489.90,1493.35,1506.544210024693497379,46166,3362,69551120.00,30649,66.39,50.25,-46.80
8-May-2024,1510.00,1527.90,1502.85,1521.55,1517.329527522509978650,10773,1170,16346191.00,3167,29.40,25.05,11.55
7-May-2024,1536.25,1542.80,1510.60,1515.15,1529.269272102959293334,38151,3269,58343152.00,20710,54.28,32.20,-21.10
6-May-2024,1521.00,1534.15,1509.00,1529.70,1524.950039861812383736,18815,1629,28691935.00,9028,47.98,25.15,8.70
3-May-2024,1521.40,1537.10,1501.85,1508.40,1516.539198883715286730,65933,6694,99989979.00,12618,19.14,35.25,-13.00
2-May-2024,1504.60,1529.95,1503.00,1518.40,1521.439527331063896388,51114,4257,77766860.00,23238,45.46,26.95,13.80
30-April-2024,1531.15,1531.15,1496.75,1502.30,1514.326318993506493506,49280,3495,74626001.00,24287,49.28,34.40,-28.85
