Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-May-2023,3306.00,3309.00,3272.50,3281.50,3294.852036793692509855,22830,2796,75221472.00,9288,40.68,36.50,-24.50
10-May-2023,3288.00,3306.30,3268.00,3285.95,3286.529638678153529638,62216,7228,204474728.00,28230,45.37,38.30,-2.05
9-May-2023,3247.00,3298.20,3246.50,3283.90,3263.430018067986049834,23799,2548,77666371.00,11156,46.88,51.70,36.90
8-May-2023,3230.85,3253.00,3230.85,3249.95,3243.270019429929637245,53011,7380,171928987.00,35856,67.64,22.15,19.10
5-May-2023,3220.30,3242.90,3210.00,3230.85,3225.674898699082960119,23445,2366,75625948.00,11478,48.96,32.90,10.55
4-May-2023,3191.95,3224.50,3181.00,3220.35,3209.456932574879357291,74186,9026,238096772.00,48268,65.06,43.50,28.40
3-May-2023,3209.05,3215.75,3174.05,3180.30,3185.944664398966523541,53799,5090,171400637.00,33664,62.57,41.70,-28.75
2-May-2023,3217.00,3232.10,3211.00,3219.20,3224.921083272241148820,69567,5789,224348085.00,47359,68.08,21.10,2.20
28-April-2023,3208.00,3227.20,3197.15,3216.00,3212.139706451862752691,51644,7642,165887743.00,23268,45.05,30.05,8.00
27-April-2023,3200.00,3200.00,3171.00,3187.10,3183.108451477635782747,80128,8377,255056114.00,46831,58.45,29.00,-12.90
26-April-2023,3176.00,3207.00,3176.00,3199.70,3198.564834037564418826,40943,3252,130958840.00,13685,33.42,31.00,23.70
25-April-2023,3180.00,3190.85,3148.90,3175.30,3179.869383257022158666,76223,4310,242379184.00,55158,72.36,41.95,-4.70
24-April-2023,3151.00,3180.60,3126.60,3174.15,3165.662452126092507119,122196,8349,386831289.00,85762,70.18,54.00,23.15
21-April-2023,3101.00,3165.75,3101.00,3161.65,3130.779650628256205945,58734,4846,183883212.00,24765,42.16,64.75,60.65
20-April-2023,3100.00,3112.95,3079.00,3104.45,3095.894020347883163767,76175,6102,235829727.00,41773,54.84,33.95,4.45
19-April-2023,3126.00,3132.05,3072.35,3088.70,3102.411655097018100351,185687,18011,576077513.00,130209,70.12,59.70,-37.30
18-April-2023,3148.05,3155.80,3111.30,3131.30,3126.436369020201355530,151970,14945,475124535.00,93694,61.65,44.50,-16.75
17-April-2023,3150.00,3163.35,3070.30,3139.60,3111.964327784090316796,191858,25041,597055252.00,76643,39.95,93.05,-10.40
13-April-2023,3210.05,3226.00,3181.05,3189.85,3191.935551444233154905,232961,19005,743596498.00,142662,61.24,44.95,-20.20
12-April-2023,3218.00,3259.95,3200.00,3242.10,3230.612540789962311260,126563,10530,408876015.00,67949,53.69,59.95,24.10
11-April-2023,3275.00,3275.00,3193.20,3214.25,3233.182393883520451013,103589,6406,334922131.00,63253,61.06,81.80,-60.75
10-April-2023,3217.00,3271.00,3215.55,3263.20,3252.170839383118157202,101932,10964,331500278.00,51611,50.63,55.45,46.20
6-April-2023,3227.50,3256.90,3216.70,3221.70,3225.005396704489109579,139159,13767,448788526.00,105697,75.95,40.20,-5.80
5-April-2023,3190.00,3263.60,3185.75,3236.80,3244.834753126112672912,188173,14283,610590290.00,157676,83.79,77.85,46.80
3-April-2023,3225.00,3225.00,3175.00,3199.25,3190.654707292023279698,29210,4550,93199024.00,11258,38.54,50.00,-25.75
31-March-2023,3191.00,3214.00,3153.00,3205.80,3181.005048602215356793,39813,5525,126645354.00,20984,52.71,61.00,14.80
